[2024-03-12 20:35:28] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-12 20:35:28] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-12 20:45:46] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-12 20:45:46] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-12 20:46:02] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-12 20:46:02] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 16:10:50] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:10:50] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 16:15:28] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:15:28] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 16:15:28] Trade Executed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:16:58] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:16:58] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 16:16:58] Trade Executed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:17:11] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:17:11] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 16:17:11] Trade Executed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:17:32] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:17:32] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 16:17:32] Trade Executed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:18:58] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:18:58] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 16:18:58] Trade Executed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:19:03] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:19:03] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 16:19:03] Trade Executed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:19:14] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:19:14] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 16:19:14] Trade Executed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:20:56] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:20:56] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 16:20:56] Trade Executed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:40:04] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 16:40:04] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 17:12:06] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 17:12:06] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 17:12:36] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 17:12:36] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 17:13:24] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 17:13:24] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 17:15:52] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 17:15:52] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
[2024-03-13 17:16:48] Order Placed: OrderID: 1, Symbol: AAPL, Price: 150, Quantity: 100, Side: B
[2024-03-13 17:16:48] Order Placed: OrderID: 2, Symbol: GOOGL, Price: 160, Quantity: 75, Side: S
